;;;    GRIPPE   2007-2008;;2009-2010;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;JANVIER ;;2010;;;;;;;;;;;;;;JANVIER ;;2010;;;;;;;;;;;
S1a;;;;;;;;;;;;;;;;S1b;;;;;;;;;;;;;;
;;;;;SEMAINE 1;;;;;;;;;;;;;;;;SEMAINE 1;;;;;;;;;
;;0-5 ;;;5-06 ans;;;16 ans;;;;;;;;;;0-5 ;;;5-06 ans;;;16 ans;;;;;;
Régions;GRIP;IRA;CONS;GRIP;IRA;CONS;GRIP;IRA;CONS; TOTGRIP;Tot IRA;T,cons;TX GR;TX IRA;;Régions;GRIP;IRA;CONS;GRIP;IRA;CONS;GRIP;IRA;CONS; TOTGRIP;Tot IRA;T,cons;TX GR;TX IRA
Tunis;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Tunis;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Ariana;33;0;260;22;0;198;62;0;853;117;0;1311;8,9;0,0;;Ariana;62;0;587;68;0;441;173;0;2007;303;0;3035;10,0;0,0
Mannouba;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Mannouba;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Ben Arous;18;94;330;17;48;247;67;125;1170;102;267;1747;5,8;15,3;;Ben Arous;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Bizerte;58;130;323;57;81;285;144;134;1248;259;345;1856;14,0;18,6;;Bizerte;79;235;581;132;179;494;333;359;2734;544;773;3809;14,3;20,3
Nabeul;33;165;333;43;56;246;105;165;1179;181;386;1758;10,3;22,0;;Nabeul;38;310;605;72;97;334;152;367;2761;262;774;3700;7,1;20,9
Zaghouan;14;0;116;20;0;117;60;0;510;94;0;743;12,7;0;;Zaghouan;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Beja;17;47;97;15;10;71;50;19;350;82;76;518;15,8;14,7;;Beja;0;0;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Jendouba ;28;68;141;10;19;40;45;33;335;83;120;516;16,1;23,3;;Jendouba ;29;108;235;18;37;120;76;49;540;123;194;895;13,7;21,7
Le Kef;0;89;168;47;0;135;222;0;1167;269;89;1470;18,3;6,1;;Le Kef;0;124;247;73;0;205;262;0;1960;335;124;2412;13,9;5,1
Siliana;7;0;40;37;0;80;98;0;675;142;0;795;17,9;0;;Siliana;13;0;77;59;0;198;192;0;1276;264;0;1551;17,0;0
Kairouan;96;36;320;64;16;233;217;74;1040;377;126;1593;23,7;7,9;;Kairouan;115;33;580;113;44;439;342;120;2115;570;197;3134;18,2;6,285896618
Sousse;35;38;217;17;12;140;167;52;1857;219;102;2214;9,9;4,6;;Sousse;44;80;492;26;35;229;252;84;2845;322;199;3566;9,0;5,6
Mahdia;4;12;97;14;0;123;28;0;172;46;12;392;11,7;3,1;;Mahdia;17;13;151;29;0;178;44;0;287;90;13;616;14,6;2,11038961
Monastir;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Monastir;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Kasserine;59;2;455;167;0;390;342;24;1738;568;26;2583;22,0;1,0;;Kasserine;85;0;473;134;1;366;316;4;2099;535;5;2938;18,2;0,2
Sfax;31;25;165;55;57;209;125;141;1235;211;223;1609;13,1;13,9;;Sfax;27;45;196;55;55;319;139;172;1825;221;272;2340;9,4;11,6
Gabes;69;0;432;81;0;399;395;0;2109;545;0;2940;18,5;0;;Gabes;96;0;405;97;0;461;413;0;1969;606;0;2835;21,4;0
Kebili;88;161;513;181;59;677;491;78;3569;760;298;4759;16,0;6,3;;Kebili;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Gafsa;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Gafsa;20;0;78;40;0;137;68;0;1128;128;0;1343;9,5;0,0
Sidi Bouz;34;97;200;53;28;194;201;54;1134;288;179;1528;18,8;11,7;;Sidi Bouz;34;96;271;87;55;308;275;70;1832;396;221;2411;16,4;9,2
Tozeur;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Tozeur;3;9;45;21;21;73;73;51;364;97;81;482;20,1;16,8
Medenine;11;81;256;23;36;176;123;136;1121;157;253;1553;10,1;16,3;;Medenine;15;103;286;33;83;254;107;264;1605;155;450;2145;7,2;21,0
Tataou;2;0;15;4;7;35;13;20;205;19;27;255;7,5;10,6;;Tataou;9;9;48;11;14;60;26;36;446;46;59;554;8,3;10,6
Total;637;1045;4478;927;429;3995;2955;1055;21667;4519;2529;30140;15,0;8,4;;Total;686;1165;5357;1068;621;4616;3243;1576;27793;4997;3362;37766;13,2;8,9
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JANVIER ;;;;2010;;;;;;;;;;;;JANVIER ;;;;2010;;;;;;;;;;
S2a;;;;;;;;;;;;;;;;;;;S2b;;;;;;;;;;;
;;;;;SEMAINE2;;;;;;;;;;;;;;;;SEMAINE2;;;;;;;;;
;;0-5 ;;;5-06 ans;;;16 ans;;;;;;;;;;0-5 ;;;5-06 ans;;;16 ans;;;;;;
Régions;GRIP;IRA;CONS;GRIP;IRA;CONS;GRIP;IRA;CONS;TGRIP;TIRA;T,CONS;TX GR;TX IRA;;Régions;GRIP;IRA;CONS;GRIP;IRA;CONS;GRIP;IRA;CONS;TGRIP;TIRA;T,CONS;TX GR;TX IRA
Tunis;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Tunis;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Ariana;62;0;443;61;0;488;139;0;2010;262;0;2941;8,9;0,0;;Ariana;61;0;514;125;0;620;200;0;2071;386;0;3205;12,0;0,0
Mannouba;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Mannouba;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Ben Arous;12;135;329;15;35;177;68;148;1391;95;318;1897;5,0;16,8;;Ben Arous;15;157;302;34;94;279;93;135;1365;142;386;1946;7,3;19,8
Bizerte;60;179;429;97;157;293;224;159;2280;381;495;3002;12,7;16,5;;Bizerte;61;227;484;127;192;575;270;331;2139;458;750;3198;14,3;23,5
Nabeul;43;256;471;50;89;264;130;276;2226;223;621;2961;7,5;21,0;;Nabeul;46;281;537;80;146;469;145;352;2349;271;779;3355;8,1;23,2
Zaghouan;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Zaghouan;20;0;153;23;0;160;65;0;759;108;0;1072;10,1;0,0
Beja;23;38;128;14;18;127;32;52;508;69;108;763;9,0;14,2;;Beja;17;32;196;13;5;89;20;3;328;50;40;613;8,2;6,5
Jendouba ;25;60;163;9;31;87;53;40;432;87;131;682;12,8;19,2;;Jendouba ;22;94;221;25;53;163;86;24;479;133;171;863;15,4;19,8
Le Kef;0;101;206;57;0;213;277;0;1524;334;101;1943;17,2;5,2;;Le Kef;0;98;233;88;0;287;249;0;1620;337;98;2140;15,7;4,6
Siliana;16;0;66;61;0;179;180;0;832;257;0;1077;23,9;0,0;;Siliana;8;0;52;90;0;294;204;0;1078;302;0;1424;21,2;0,0
Kairouan;116;35;473;98;41;444;234;81;1865;448;157;2782;16,1;5,6;;Kairouan;109;41;469;120;42;525;267;100;2326;496;183;3320;14,9;5,5
Sousse;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Sousse;53;75;476;34;35;288;158;114;2725;245;224;3489;7,0;6,4
Mahdia;11;13;107;13;0;189;42;0;276;66;13;572;11,5;2,3;;Mahdia;21;7;146;11;0;93;26;1;189;58;8;428;13,6;1,9
Monastir;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Monastir;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Kasserine;41;0;295;145;0;354;306;3;1626;492;3;2275;21,6;0,1;;Kasserine;58;0;425;75;5;423;170;24;1699;303;29;2547;11,9;1,1
Sfax;19;35;204;53;57;349;113;126;1536;185;218;2089;8,9;10,4;;Sfax;28;75;401;111;65;532;91;109;2726;230;249;3659;6,3;6,8
Gabes;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Gabes;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Kebili;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Kebili;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Gafsa;48;0;580;211;0;684;470;0;3028;729;0;4292;17,0;0,0;;Gafsa;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Sidi Bouz;46;69;218;46;43;262;168;45;1610;260;157;2090;12,4;7,5;;Sidi Bouz;52;81;261;97;64;338;202;56;1868;351;201;2467;14,2;8,1
Tozeur;2;6;22;12;18;72;42;32;238;56;56;332;16,9;16,9;;Tozeur;4;5;42;12;12;55;51;37;273;67;54;370;18,1;14,6
Medenine;12;104;260;33;65;262;105;196;1461;150;365;1983;7,6;18,4;;Medenine;24;100;283;54;87;295;112;229;1435;190;416;2013;9,4;20,7
Tataou;7;6;34;16;9;67;31;22;288;54;37;389;13,9;9,5;;Tataou;4;9;25;20;9;89;20;26;272;44;44;386;11,4;11,4
Total;543;1037;4428;991;563;4511;2614;1180;23131;4148;2780;32070;12,9;8,7;;Total;603;1282;5220;1139;809;5574;2429;1541;25701;4171;3632;36495;11,4;10,0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
